id,screen,ia,expected,result,notes,screenshot
HOME-N03,home,IA03,Navbar highlight trang hiện tại (FR-23),FAIL,"Không tìm thấy cơ chế active-state (class active/aria-current) riêng biệt trên navbar; toàn bộ link chỉ có hover:underline, không phân biệt trang hiện tại.",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-N03.png
HOME-N04,home,IA03,Badge số lượng giỏ hàng (FR-23),FAIL,Link 'Giỏ hàng' không có badge số lượng đi kèm.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-N04.png
HOME-N05,home,IA03,Tab order hợp lý (FR-21),FAIL,"Human review (HOME-N05.png): tab order khong theo thu tu thi giac tren-xuong/trai-phai; link ""Xem chi tiet"" nhan focus truoc o tim kiem. -> BUG-GUI-26",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-N05.png
HOME-N06,home,IA03,Không breadcrumb thừa trên Home (FR-23),N/A,Breadcrumb không bắt buộc cho Home theo FR-23 (chỉ áp dụng Cart/Checkout/Product Detail).,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-N06.png
HOME-N07,home,IA03,Truy cập trực tiếp '/' load đúng,PASS,Truy cập trực tiếp '/' render nội dung trang chủ đầy đủ.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-N07.png
HOME-N08,home,IA03,2 vùng bấm trên card không chồng lấn,PASS,"Hai vùng bấm tách biệt, không chồng lấn.",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-N08.png
HOME-N09,home,IA03,Hành vi rõ ràng khi chưa đăng nhập,FAIL,"Human review (HOME-N09.png): click ""Them vao gio"" khi chua dang nhap khong co phan hoi nao (khong toast, khong redirect, khong gio khach) - im lang that bai. -> BUG-GUI-27",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-N09.png
HOME-S01,home,IA04,Loading state khi tải sản phẩm (FR-05),FAIL,Không phát hiện trạng thái loading (spinner/'Đang tải...') khi vào trang.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-S01.png
HOME-S02,home,IA04,Empty state khi không có kết quả (FR-05/24),FAIL,Không có empty state rõ ràng khi tìm kiếm không ra kết quả (trang chỉ trống trơn).,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-S02.png
HOME-S03,home,IA04,Lỗi API không lộ chi tiết kỹ thuật,FAIL,Human review (HOME-S03.png): payload ' OR '1'='1 tra ve TOAN BO 5 san pham thay vi 0 ket qua -> xac nhan SQL Injection that su o server.js:144. -> BUG-GUI-07 (nang len Critical),C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-S03.png
HOME-S04,home,IA04,Phản hồi trực quan khi Thêm vào giỏ (FR-24),FAIL,Không phát hiện phản hồi trực quan (toast/badge) sau khi Thêm vào giỏ trên Home.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-S04.png
HOME-S05,home,IA04,'Hiển thị N sản phẩm' cập nhật đúng,PASS,"Human review (HOME-S05.png): truoc ""Hien thi 5 san pham"", sau khi tim ""a"" -> ""Hien thi 4 san pham"" va dung 4 card - so dem khop ket qua that.",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-S05.png
HOME-S06,home,IA04,Dòng 'Kết quả tìm kiếm cho' hiện/ẩn đúng,PASS,Dòng 'Kết quả tìm kiếm cho' chỉ hiện sau khi có từ khóa.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-S06.png
HOME-S07,home,IA04,Reload không để lại lỗi console,PASS,Reload trang không phát sinh lỗi console SEVERE.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\HOME-S07.png
LOGIN-U01,login,IA01,Tiêu đề 'Đăng Nhập' đúng chức năng,FAIL,Tiêu đề trang Login sai: 'Đăng Ký' (kỳ vọng 'Đăng Nhập').,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-U01.png
LOGIN-U02,login,IA01,Ngôn ngữ tiếng Việt nhất quán (FR-21),FAIL,"Tìm thấy nhãn tiếng Anh giữa giao diện tiếng Việt: ['Username', 'Sign In']",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-U02.png
LOGIN-U03,login,IA01,Nút submit màu xanh dương (FR-21),PASS,Nút submit dùng class chứa 'blue': w-full bg-blue-600 text-white py-2 rounded hover:bg-blue-700,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-U03.png
LOGIN-U04,login,IA01,"Form căn giữa, cân đối",PASS,"Human review (LOGIN-U04.png): form can giua trong khung card trang, khoang cach giua cac truong (space-y-4) deu nhau, de doc.",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-U04.png
LOGIN-U05,login,IA01,Phân cấp thị giác link phụ vs nút chính,PASS,"Human review (LOGIN-U05.png): 2 link phu dung mau xanh nhat/underline, co chu nho hon nut chinh (nen xanh dam, full-width) - phan cap thi giac ro rang.",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-U05.png
LOGIN-U06,login,IA01,Dark mode đủ tương phản,FAIL,Không có biến thể dark: trong DOM trang Login.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-U06.png
LOGIN-U07,login,IA01,Responsive mobile không tràn ngang,PASS,Không phát hiện tràn ngang ở độ rộng mobile 375px.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-U07.png
LOGIN-F01,login,IA02,Email dùng type='email' (FR-02/22),FAIL,Trường Email dùng type='text' thay vì 'email'.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-F01.png
LOGIN-F02,login,IA02,Mật khẩu dùng type='password' (FR-22),FAIL,Trường Mật khẩu dùng type='text': mật khẩu hiển thị rõ khi gõ.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-F02.png
LOGIN-F03,login,IA02,Nhãn bắt buộc có dấu '*' (FR-22),FAIL,Không có nhãn nào chứa dấu '*' cho trường bắt buộc.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-F03.png
LOGIN-F04,login,IA02,Submit rỗng bị chặn phía client,PASS,Submit với form trống bị chặn phía client (không điều hướng/gọi API).,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-F04.png
LOGIN-F05,login,IA02,Lỗi hiển thị trên nút submit (FR-22),FAIL,Thông báo lỗi hiển thị phía dưới nút submit (vi phạm FR-22).,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-F05.png
LOGIN-F06,login,IA02,Enter trong ô mật khẩu = submit,PASS,Enter trong ô mật khẩu kích hoạt submit thành công.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-F06.png
LOGIN-F07,login,IA02,Label liên kết đúng input (accessibility),FAIL,2/2 label KHÔNG có 'for'/'htmlFor' liên kết input.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-F07.png
LOGIN-F08,login,IA02,Validate định dạng email rõ ràng,FAIL,Không có validate HTML5 định dạng email (do input dùng type='text'); request có thể được gửi thẳng lên server với email sai định dạng.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-F08.png
LOGIN-N01,login,IA03,Điều hướng đúng sau đăng nhập thành công,PASS,Điều hướng sau đăng nhập thành công tới http://localhost:5173/,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-N01.png
LOGIN-N02,login,IA03,Link Đăng ký điều hướng đúng /register,PASS,Link 'Đăng ký ngay' điều hướng đúng.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-N02.png
LOGIN-N03,login,IA03,Link Quên mật khẩu điều hướng đúng,PASS,Link 'Quên mật khẩu?' điều hướng đúng.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-N03.png
LOGIN-N04,login,IA03,Tab order Email→Mật khẩu→...→Submit (FR-21),FAIL,"Human review (LOGIN-N04.png) + doi chieu code: tabIndex={1} gan cung tren nut submit (Login.jsx:56) khien nut co the nhan Tab-focus truoc cac input phia tren (mac dinh tabindex=0), pha vo tab order tu nhien. -> BUG-GUI-28",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-N04.png
LOGIN-N05,login,IA03,Navbar đầy đủ khi chưa đăng nhập,PASS,Navbar đầy đủ khi chưa đăng nhập trên trang Login.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-N05.png
LOGIN-N06,login,IA03,Không lỗi khi đã đăng nhập truy cập lại /login,FAIL,"Human review (LOGIN-N06.png): navbar hien thi da dang nhap (""Chao, Test User"" + nut Thoat) TRONG KHI than trang /login van hien form dang nhap trong - trang thai mau thuan, thieu route guard. -> BUG-GUI-29",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-N06.png
LOGIN-N07,login,IA03,Form sạch sau đăng xuất rồi quay lại,PASS,"Human review (LOGIN-N07.png): form hien thi trong, navbar ve dung trang thai chua dang nhap, khong con du lieu phien cu.",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-N07.png
LOGIN-S01,login,IA04,Thông báo lỗi chung khi sai email/mật khẩu,PASS,Có thông báo lỗi chung khi đăng nhập sai.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-S01.png
LOGIN-S02,login,IA04,Nút submit loading/disabled khi gọi API,FAIL,Nút submit không chuyển trạng thái disabled/loading khi đang gọi API.,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-S02.png
LOGIN-S03,login,IA04,Khoá tài khoản sau đúng 3 lần sai (FR-02),PASS,API trả 403 (khoá) sau 3 lần sai liên tiếp (kỳ vọng đúng 3 theo FR-02).,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-S03.png
LOGIN-S04,login,IA04,Thời gian khoá đúng 30s (FR-02),FAIL,"Sau 32s, API trả status 403 (vẫn khoá/không đăng nhập được); kỳ vọng mở khoá và trả 200 sau đúng 30s theo spec.",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-S04.png
LOGIN-S05,login,IA04,Thông báo khoá phân biệt với sai mật khẩu,FAIL,"Human review: oracle cua script kiem o tang backend (401 vs 403 -> co phan biet) nen bao PASS, nhung item nay kiem THONG BAO NGUOI DUNG THAY. UI Login.jsx:17-19 luon hien 1 cau chung ""Dang nhap that bai. Vui long kiem tra lai."" cho ca 2 truong hop -> nguoi dung khong bao gio thay su phan biet ma backend da cung cap. Ket luan cuoi: FAIL. -> BUG-GUI-18",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-S05.png
LOGIN-S06,login,IA04,Tự mở khoá và đăng nhập lại thành công,FAIL,Chưa mở khoá ở mốc 32s (status 403); khớp với BUG-GUI-17 (thời gian khoá thực tế ~180s thay vì 30s).,C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-S06.png
LOGIN-S07,login,IA04,Không lộ JWT token ra console/URL,PASS,"Human review (LOGIN-S07.png) + doi chieu: JWT duoc luu trong localStorage (co che thong thuong cua app), khong bi log ra console hay lo tren URL.",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-S07.png
LOGIN-S08,login,IA04,Không double-submit khi bấm nhiều lần,FAIL,"Human review (LOGIN-S08.png): vi nut submit khong disable khi dang goi API (LOGIN-S02 da FAIL), bam nhieu lan lien tuc co the kich hoat nhieu request POST /api/login trung lap. -> BUG-GUI-30",C:\HCMUS\Software Testing\software-testing\selenium\screenshots\LOGIN-S08.png
